Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (UTC),Year,Month,Day,Time (UTC),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 00:00,2020,2,1,00:00,-6.3,,-10.8,,71,,0,,29,,5,,,,101.3,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 01:00,2020,2,1,01:00,-6.3,,-10.7,,71,,0,,23,,4,,,,101.29,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 02:00,2020,2,1,02:00,-6.5,,-10.8,,72,,0,,26,,4,,,,101.28,,,,-8,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 03:00,2020,2,1,03:00,-7.2,,-9.9,,81,,0,,26,,3,,,,101.24,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 04:00,2020,2,1,04:00,-7.5,,-9.3,,87,,0,,,,0,,,,101.16,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 05:00,2020,2,1,05:00,-7.9,,-9.4,,89,,0,,19,,3,,,,101.09,,,,-9,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 06:00,2020,2,1,06:00,-9,,-10.1,,92,,0,,,,0,,,,101.04,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 07:00,2020,2,1,07:00,-10.3,,-11.1,,94,,0,,,,0,,,,100.98,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 08:00,2020,2,1,08:00,-11.8,,-12.7,,93,,0.2,,,,0,,,,100.91,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 09:00,2020,2,1,09:00,-11.9,,-12.9,,92,,0,,,,0,,,,100.88,,,,,,
-75.72,45.38,OTTAWA CDA RCS,6105978,2020-02-01 10:00,2020,2,1,10:00,-10.1,,-11.5,,90,,0,,,,0,,,,100.86,,,,,,
